Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Category,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,2021 ENERGY STAR Score,2021 Site EUI (kBtu/ft2),2021 Source EUI (kBtu/ft2),2021 Percent Better than National Median Site EUI,2021 Weather Normalized Site EUI (kBtu/ft2),2021 Weather Normalized Source EUI (kBtu/ft2),2021 Total GHG Emissions (Metric Tons CO2e),2021 Total GHG Emissions Intensity (kGCO2e/ft2) ,2021 Electricity Use - Grid Purchase (kWh),2021 Natural Gas Use (kBtu), 2021 District Steam Use (kBtu) ,2021 Site Energy Use (kBtu),2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2020 Total GHG Emissions (Metric Tons CO2e),2020 Total GHG Emissions Intensity (kGCO2e/ft2) ,2020 Electricity Use - Grid Purchase (kWh),2020 Natural Gas Use (kBtu),2020 District Steam Use (kBtu) ,2020 Site Energy Use (kBtu),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2019 Total GHG Emissions (Metric Tons CO2e),2019 Total GHG Emissions Intensity (kGCO2e/ft2) ,2019 Electricity Use - Grid Purchase (kWh),2019 Natural Gas Use (kBtu),2019 District Steam Use (kBtu) ,2019 Site Energy Use (kBtu),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2018 Total GHG Emissions (Metric Tons CO2e),2018 Total GHG Emissions Intensity (kGCO2e/ft2) ,2018 Electricity Use - Grid Purchase (kWh),2018 Natural Gas Use (kBtu),2018 District Steam Use (kBtu),2018 Site Energy Use (kBtu),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2021 Benchmark Status,2021 Reason for Exemption,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption
0020/001,211 BEACH ST,2500 MASON ST,94133,405000,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0020/001,1974,04/01/2024,,99,,,,,,,,1872679.1,7305584.5,,13695166.5,,26.3,48.4,-71.4,28.3,54.2,535.3,1.6,1204020.4,4950214.6,,9058332.6,,45.5,79.9,-53,,,917.7,2.7,1854244.8,9381319.8,,15708003.9,97,51.4,92.1,-46.1,51.3,92,1072.1,3.1,2199749.8,10230604.5,,17736151.6,,,,,,,93,51.6,99.9,-41.6,-41.6,51.6,99.9,86,57.8,117.3,-33,57.8,117.3,82,60.4,122.5,-28.6,60.8,123.6,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Data Not Verified,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,
0021/001,400 NORTH POINT ST,400 NORTH POINT ST,94133,51656,Commercial,Social/Meeting Hall,https://sfplanninggis.org/PIM/?tab=Property&search=0021/001,1958,04/01/2027,,,30.1,59.5,-45.7,31.5,62,54.3,1.7,148080.5,446682.9,,951933.6,,31.4,61.1,-44.3,37.5,69.9,59.5,1.9,148882.3,486098.7,,994085.2,,46.8,79.8,-27.2,50.5,85.1,88.3,2.8,162772.3,925800,,1481179.2,,44.8,79.6,-27.4,44.1,78.5,85.5,2.7,172741.3,828418.3,,1417811.7,,43,81,16,47.6,87.9,,44.5,81.9,17.3,17.3,52.1,92.7,,38.9,78.2,12,41.8,82.6,,34,70.9,1.5,40.5,81,,46.7,88.1,26.1,47.3,88.9,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,
0127/029,999 GREEN ST,999 GREEN ST,94133,381255,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0127/029,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0022/010,15571-HI SF Fisherman's Wharf Annex,475 BEACH ST,94133,126250,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0022/010,1983,04/01/2024,,98,37.7,80.6,-50.3,37.7,80.6,274.6,2.2,867733.2,1796998.1,,4757704.2,,,,,,,,,,,,,74,67.3,139.9,-19.9,67.3,139.9,537.8,4.3,1464754.2,3496550,,8494291.9,73,68.2,142.2,-19.1,68.2,142.2,545.6,4.3,1493060.8,3516096.4,,8610420.3,67,66.4,154.5,-15.2,67.1,156.8,67,65.1,150.2,-15.5,-15.5,65.1,150.2,69,65.3,151.6,-17,65.3,151.6,70,64.8,147.3,-17.5,64.8,147.3,72,65.5999999999999,147.9,-19.8,65.5,147.8,76,62,151.6,-23.5,63.7,153.4,77,62.4,,-24.6,63.4,,2021 - Complied,,2020 - Exempt,Vacancy,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0022/012,580 NORTH POINT ST,580 NORTH POINT ST,94133,24022,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0022/012,1900,04/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0022/014,2627 TAYLOR ST: Cannabis,2627 Taylor St,94133,,Cannabis Business,,https://sfplanninggis.org/PIM/?tab=Property&search=0022/014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Upcoming,,,,,,,,,,,,,,,,,,,
0022/015,Holiday Inn Express - Fisherman's Wharf,550 North Point St,94133,164650,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0022/015,2001,04/01/2026,,91,40.9,82.3,-34.9,42.3,83.8,311.4,2.3,876525.3,2455798.3,,5446502.9,,36.3,67.9,-44.2,38.7,70.4,286.7,2.2,664726.9,2566552.4,,4834600.7,70,53.9,112.8,-15.2,54.3,111.7,455.4,3.4,1254076.3,2900131.8,,7179040.6,69,54.1,114.4,-14.8,54.8,116.9,458.5,3.4,1284923.4,2818839.2,,7202998.3,52,60,136.5,-2.1,60.5,135.2,48,60,136.7,1.3,1.3,61.5,135.8,42,59.5,137,6,59.5,135.1,39,59.7,136.7,9.5,60,134.4,38,64.8,143.699999999999,9.8,64.3,142.199999999999,55,62.1,143.9,-4.09999999999999,63.2,146.699999999999,51,65,,-1.1,65.2,,2021 - Complied,,2020 - Complied,Vacancy,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0023/002,Euro Properties,505 BEACH ST,94133,21630,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0023/002,1950,04/01/2026,Upcoming,,78.6,145.3,24.9,78.6,145.3,96,4.4,227464.9,923957.3,,1700067.6,,107.2,170.4,46.4,107.2,170.4,132.6,6.1,209554.7,1603585,,2318585.9,,172.9,261.3,124.6,172.9,261.3,215.7,10,288999.9,2754020,,3740087.8,,157.1,235.1,102.1,156,233.9,195.6,9,254041.5,2532201.1,,3398990.7,,125.2,216.3,46.1,125.2,216.3,,62.8,123.6,-16.5,-16.5,73.2,134.4,,79.7,156,5,83.2,159.8,,104.9,203.4,37.4,112.7,211.6,38,77.4,142.3,13.1,78,143,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,
0023/003,555 BEACH ST,555 BEACH ST,94133,15706,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0023/003,1951,04/01/2027,,,33.1,67.8,-41.7,35.2,70,29.8,1.9,86955.1,223355,,520045.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0023/005,Hotel CaZA,1300 COLUMBUS AVE,94133,249352,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0023/005,1970,04/01/2020,,100,19.7,39,-65.9,22.1,44,280.1,1.1,765549.9,2298053.5,,4910110,,12.8,26.5,-76.6,,,194.3,0.8,543836.9,1342919,,3198490.8,,,,,,,,,,,,,,,,,,,,,,,,,70,86.6,186.1,-18.1,88.3,189.9,71,83.2,180.4,-19.2,-19.2,87.2,191.1,72,84.1,183.1,-19,84.1,183.1,74,82.6,175.5,-21.7,84.5,181.5,65,92.9,198.3,-13.3,92.8,197.9,69,90.5,202.2,-17.2,90.2,201.2,58,94.4,,-7.5,92.9,,2021 - Complied,,2020 - Complied,,2019 - Violation - Insufficient Data,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0024/012,"Hyde Hill Holdings, L.P.",2744 HYDE ST,94109,33000,Commercial,Adult Education,https://sfplanninggis.org/PIM/?tab=Property&search=0024/012,1956,04/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,72,-34.7,31.2,73.4,65.7,2,224331.3,222000,,987418.5,,32,79.8,-27.7,32.5,80.4,71.2,2.2,255580.5,183397.6,,1055438.2,,34.3,89.6,-18.8,35.1,90.4,,35,96.3,-31.9,-31.9,36.9,98.2,,35,99.8,-30,35.6,100.4,,37.8,107.3,-24.1,39.8,109.4,,50,128.199999999999,-9.4,50.2,128.4,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Insufficient Data,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,
0024/025,2750 HYDE ST,655 BEACH ST,94109,132748,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0024/025,1973,04/01/2026,,27,83,181.2,27.1,85.4,183.8,328.2,4.8,1076966,1992332.8,,5666941.5,,108.2,267.2,81.6,111.3,270.5,471.7,6.9,1757503.4,1396001.5,,7392603.8,,84.9,194.7,-1.6,86,193.6,362.4,5.3,1206875.7,1683556,,5801416.4,,,,,,,,,,,,,73,79.6,207.5,-21.1,81.8,209.8,59,91.2,236.8,-8.7,-8.7,89.4,231,72,81.6,206.9,-21,80.3,203,74,78.3,201.6,-22,81.3,201.9,78,78.9,194.7,-25.9,79.0999999999999,194.9,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,
0055/016-B,Wharf Plaza Apartments -155,155 Francisco St,94133,19084,Multifamily,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0055/016-B,1983,,,,23.6,38.8,-67.2,23.9,39.2,25.1,1.3,44744.5,297769.9,,450438.3,,22.4,37,-68.6,23.4,38.9,24.6,1.3,43323.7,278800,,426620.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
0025/012,3040 LARKIN ST,3040 LARKIN ST,94109,14198,Commercial,Strip Mall,https://sfplanninggis.org/PIM/?tab=Property&search=0025/012,1925,04/01/2027,,,36.4,100.3,-56.2,38.1,105.3,31.2,2.2,147727.5,12167.7,,516214.2,,39,108,-52.8,41.7,115.5,36.6,2.6,159420.4,9283.9,,553226.4,,39.5,110.1,-51.9,41.6,116,39.4,2.8,163181.3,4216.1,,560990.9,,38.9,108.2,-52.7,38.1,105.8,38.8,2.7,160103.5,6200,,552473.3,,0.5,1.6,-99.3,0.5,1.6,,,,,,,,,,,,,,,63.8,117.9,-50.4,74.1,128.8,,92,154.3,-35,92.5,154.699999999999,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Exempt,Vacancy,Exempt,New Construction,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0025/014,781 Beach Street,781 BEACH ST,94109,32776,Commercial,Museum,https://sfplanninggis.org/PIM/?tab=Property&search=0025/014,1912,04/01/2024,,,15.7,30,-73.2,15.7,30,29.2,0.9,74107.4,261666,,514520.5,,26.8,45.7,-59.2,32,51,49.1,1.5,96049.6,551846,,879567.2,90,30.1,62.1,-51.9,32.1,64.3,62.3,1.9,167760,413410,,985807.1,81,25.1,56.9,-32.9,25.4,57.2,53.6,1.6,167746.6,249213.4,,821564.8,94,22.2,58.7,-51.8,23.2,59.8,,22.4,63.2,-57.3,-57.3,21.2,59.4,,23.3,66.8,-55,23.3,66.8,,28.2,70.4,-52.5,30.7,73,,38.2999999999999,79,-46.6,38.6,79.2,,38.6,80.5999999999999,-45.6,36.4,78.3,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0025/021,737 BEACH ST,737 BEACH ST,94109,10450,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0025/021,1948,04/01/2024,,99,13.4,17.2,-76,13.6,17.4,7.6,0.7,5583.8,120500,,139552,,14.9,20.9,-70.5,15.4,21.3,8.7,0.8,9093.2,124900,,155926.1,84,25.4,40.2,-42.9,26.4,41.2,15.2,1.5,23657.6,185170,,265889.6,81,27.1,42.9,-33.8,29.3,45.2,16.5,1.6,25248.7,196980,,283128.4,93,27.9,52,-50.5,29.3,53.5,92,32,54.4,-47.9,-47.9,32.4,54.8,95,27.7,47.6,-54,30.1,50.1,88,31.7,59.1,-42.3,39.2,68.7,62,45.2,94.3,-13.2,43.7,92.7,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0028/016,SFOFW,1250 COLUMBUS AVE,94133,204331,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0028/016,1984,04/01/2024,,,44.1,97.5,-39.2,45.1,100.4,465.2,2.6,1560681.2,2690871,,8015915.8,,39.2,80.7,-50.8,39.2,80.7,433.4,2.4,1203570.8,3033499.8,,7140083.8,87,60.1,122.3,-31.5,60.1,122.3,687.7,3.8,1804017.7,4784600.1,,10939909.4,89,58.5,118,-34.4,58.7,118.4,667.7,3.7,1724518.9,4768000.5,,10652059.6,78,65.4,140.9,-24.7,65.4,140.9,78,61,136.6,-25.2,-25.2,61.9,137.5,76,59.5,134.2,-23,59.5,134.2,68,61.8,143.4,-16.3,61.8,143.4,63,75.4,156.199999999999,-11.9,75.4,156.199999999999,63,87.8,179.2,-11.8,88.2,180.7,61,82.6,,-9.6,81.7,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0029/003,2620 Jones St,590 BAY ST,94133,166777,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0029/003,1974,04/01/2026,,,34.5,78.3,-58.2,34.5,78.3,272.7,2,954809.9,1421290,,4679101.8,,30,67,-64.1,30,67,252.3,1.9,807131.2,1312557.9,,4066489.9,98,40.5,92,-51,39.4,89.2,341.9,2.5,1125387.7,1643631,,5483454.5,96,47.3,105.7,-43.9,47.3,105.7,416,3.1,1271032.2,2080962.5,,6417724.8,87,55.9,135.7,-33.3,55.9,135.7,87,53.3,131.7,-34,-34,53.3,131.7,88,53.7,133.2,-35,53.3,132.1,86,56.1,134.4,-32.9,56.1,134.4,77,66,156.9,-23.5,66,156.9,77,66.5999999999999,158.199999999999,-23.6,67.2,158.8,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,
0029/007,Hyatt Fisherman's Wharf,555 NORTH POINT ST,94133,283765,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0029/007,1990,04/01/2024,,92,46.9,105.4,-38,46.9,105.4,646.5,2.7,2230756.7,3500000.1,,11111342.8,,40.1,94.1,-44.2,40.1,94.1,557.1,2.3,2066239.7,2455900.1,,9505911,71,65.9,142,-16.6,66,141,1000.7,4.2,2891795.8,5755423.5,,15622231.9,67,69.6,148.6,-13.4,69.7,148.9,1054.1,4.4,2997586.6,6282346.6,,16510113.5,56,68.4,160.7,-5.5,68,159.4,48,72.9,167.3,1.1,1.1,71.9,164.2,50,71.8,168.8,-1,71.5,168,45,74.7,173.1,4.09999999999999,74.4,172.2,19,98.3,224.8,34.4,98.3,224.8,61,66.9,161.5,-10.1999999999999,67.7,164,57,70.1,,-7,70.6,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0030/001,Hotel Zoe Fishermans Wharf,425 NORTH POINT ST,94133,125085,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0030/001,1990,04/01/2024,Upcoming,100,34.6,64.6,-59.3,34.6,64.6,261.3,2.1,591404.9,2316199.9,,4334073.7,,33.5,58,-63.3,33.5,58,244.1,2,478309.9,2559100,,4191093.7,67,57.2,109.3,-31.3,56.9,108.6,426.3,3.4,1033203.9,3625700.2,,7150992.2,90,63.3,118.8,-35.6,63.3,118.8,439.4,3.9,992475.7,3780798.9,,7167126.3,95,53.9,105.1,-42.5,53.9,105.1,83,73.5,146.3,-29.6,-29.6,73.5,146.3,,,,,,,85,78.2,151.1,-31,77.7,149.6,85,80.4,154.199999999999,-31.5,80.4,154.199999999999,95,78.0999999999999,154.1,-44.7,78.0999999999999,154.1,95,79.3,,-45.2,79.3,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,
0030/008,Cost Plus Plaza,2552 TAYLOR ST,94133,75416,Commercial,Strip Mall,https://sfplanninggis.org/PIM/?tab=Property&search=0030/008,0,04/01/2024,,,21.7,55.8,-75.6,21.9,55.9,97.5,1.3,416321.6,216544.4,,1637034,,23.5,63.6,-72.2,23.5,63.6,116.4,1.5,491074.6,100104.7,,1775651.5,,30.1,81.7,-64.3,29.3,79.3,158.1,2.1,632590.6,113870,,2272269.5,,33.2,92.1,-59.7,35.2,97.6,175.8,2.3,722929.3,37872.2,,2504507.4,,38.2,105.3,-54,37.3,102.7,,,,,,,,,,,,,,,45.8,139.6,13.4,45.8,139.6,,49.5,153.199999999999,24.4,49.4,152.9,73,52.9,163.8,-24.3,52.7,163.699999999999,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,
0030/012,Petco Building,2598 TAYLOR ST,94133,14400,Commercial,Retail Store,https://sfplanninggis.org/PIM/?tab=Property&search=0030/012,1986,04/01/2025,,,,,,,,,,,,,,,16.8,47.1,-60.8,16.8,47.1,16.1,1.1,70968.2,,,242143.4,,44.2,123.8,3.1,44.2,123.8,44.8,3.1,186547.7,,,636500.7,,87.9,246.2,105.1,87.9,246.2,89.2,6.2,371035.2,,,1265972.3,,96.8,271,125.8,96.8,271,,,,,,,,,,,,,,,8.7,26.7,-76.7,8.7,26.7,,27.2,84.6,-64.4,27.2,84.6,,,,,,,,,,,,,2021 - Exempt,Vacancy,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0031/007,350 Bay St.,360 BAY ST,94133,222307,Mixed Residential,Enclosed Mall,https://sfplanninggis.org/PIM/?tab=Property&search=0031/007,1968,04/01/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.8,7.8,3109269.4,1853694,,12462522.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Complied,,,,,,,,,,,,,,,
0031/008,2351 Powell,2351 Powell St,94103,164167,Multifamily,,https://sfplanninggis.org/PIM/?tab=Property&search=0031/008,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Exempt,Added After Benchmark Year,,,,,,,,,,,,,,
0032/001,240 BAY ST,240 BAY ST,94133,200650,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0032/001,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0032/002,260 BAY ST,260 BAY ST,94133,217647,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0032/002,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0033/003,160 BAY ST,160 BAY ST,94133,199963,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0033/003,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0037/001,50 Francisco,50 FRANCISCO ST,94133,130469,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0037/001,1976,04/01/2026,,,50.3,96.8,-36.5,51.6,98.1,372.9,2.9,959824.9,3289418.9,,6564341.8,,38.9,83.1,-45.9,42.6,87,311.4,2.4,922614.9,1933632.8,,5081595.1,79,46.1,97.3,-36.1,47.6,98.9,382.5,2.9,1068411,2366311.6,,6011730.3,81,51,106.7,-35.6,51.7,109,422,3.2,1160312.5,2694935.8,,6653922.5,89,51.4,121.9,-44.5,52.1,121.3,87,55.1,125.9,-41.2,-41.2,57,126,84,52.8,125.9,-38,53.3,124.8,,,,,,,88,49.6,117.6,-42.2,49.8,117.6,99,29.3,97.9,-67,29.3,97.9,95,41.3,,-53.7,44,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Exempt,,Complied,,Complied,,Complied,
0037/004,Waterfront Plaza - 60 Francisco,80 FRANCISCO ST,94133,166700,Commercial,Parking,https://sfplanninggis.org/PIM/?tab=Property&search=0037/004,1975,04/01/2022,Upcoming,,44.3,124.1,,44.3,124.1,39.8,2.7,192727.6,,,657586.7,,66.4,186,,66.4,186,65.3,4.4,288881.5,,,985663.6,,61.3,171.6,,61.3,171.6,64.1,4.3,266532.5,,,909409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,
0038/001A,150 FRANCISCO ST,150 FRANCISCO ST,94133,87870,Multifamily,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0038/001A,1983,,,,20.6,24.4,-79.4,,,97,1.1,40482.9,1669628.3,,1807756,,17.7,20.9,-82.3,17.7,20.9,84.1,1,33987.7,1439551.6,,1555517.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
